,musicFeaturesFileNameWithDir,musicFeaturesFileName,youtubeID,musicFileNameWithDir,musicFileName,file_name,title,upload_date,view_count,like_count,dislike_count,average_rating,creator,artist,artistID,style,styleID,name,youtube_url
0,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-1VISLfRDfg.npy,-1VISLfRDfg.npy,-1VISLfRDfg,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/black/-1VISLfRDfg.mp3,-1VISLfRDfg.mp3,Lurker Of Chalice - Piercing Where They Might--1VISLfRDfg.mp3,Lurker Of Chalice - Piercing Where They Might,20081120.0,79880.0,890.0,15.0,4.933701515,,,5866,black,6,Lurker of Chalice,https://www.youtube.com/watch?v=-1VISLfRDfg
1,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-49noOAFsG8.npy,-49noOAFsG8.npy,-49noOAFsG8,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/metal/-49noOAFsG8.mp3,-49noOAFsG8.mp3,Saxon - Princess of the Night--49noOAFsG8.mp3,Saxon - Princess of the Night,20071128.0,6215492.0,29076.0,669.0,4.910095692,Saxon,Saxon,3476,metal,1,Saxon,https://www.youtube.com/watch?v=-49noOAFsG8
2,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-4k9ovLfKV8.npy,-4k9ovLfKV8.npy,-4k9ovLfKV8,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/country/-4k9ovLfKV8.mp3,-4k9ovLfKV8.mp3,Jennette McCurdy - So close lyrics--4k9ovLfKV8.mp3,Jennette McCurdy - So close lyrics,20140121.0,33503.0,375.0,13.0,4.865979195,Jennette McCurdy,Jennette McCurdy,1683,country,7,Jennette McCurdy,https://www.youtube.com/watch?v=-4k9ovLfKV8
3,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-59jGD4WrmE.npy,-59jGD4WrmE.npy,-59jGD4WrmE,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/hop/-59jGD4WrmE.mp3,-59jGD4WrmE.mp3,"Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors - Sucker for Pain--59jGD4WrmE.mp3","Lil Wayne, Wiz Khalifa & Imagine Dragons w/ Logic & Ty Dolla $ign ft X Ambassadors - Sucker for Pain",20160624.0,553746262.0,3867917.0,148948.0,4.85140276,Imagine Dragons,Imagine Dragons,527,hop,5,Lil' Wayne,https://www.youtube.com/watch?v=-59jGD4WrmE
4,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-5Ri8GY57SI.npy,-5Ri8GY57SI.npy,-5Ri8GY57SI,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/country/-5Ri8GY57SI.mp3,-5Ri8GY57SI.mp3,Kellie Pickler - Red High Heels--5Ri8GY57SI.mp3,Kellie Pickler - Red High Heels,20091003.0,18045596.0,49566.0,2427.0,4.8133649830000005,Kellie Pickler,Kellie Pickler,5266,country,7,Kellie Pickler,https://www.youtube.com/watch?v=-5Ri8GY57SI
5,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-75raKEmGoo.npy,-75raKEmGoo.npy,-75raKEmGoo,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/country/-75raKEmGoo.mp3,-75raKEmGoo.mp3,What Kinda Gone - Chris Cagle--75raKEmGoo.mp3,What Kinda Gone - Chris Cagle,20070926.0,2680977.0,7555.0,218.0,4.887816906,Chris Cagle,Chris Cagle,3592,country,7,Chris Cagle,https://www.youtube.com/watch?v=-75raKEmGoo
6,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-8fNGnUlMZc.npy,-8fNGnUlMZc.npy,-8fNGnUlMZc,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/folk/-8fNGnUlMZc.mp3,-8fNGnUlMZc.mp3,Paolo Nutini - New Shoes--8fNGnUlMZc.mp3,Paolo Nutini - New Shoes,20100716.0,244239.0,858.0,21.0,4.904437065,Paolo Nutini,Paolo Nutini,1511,folk,4,Paolo Nutini,https://www.youtube.com/watch?v=-8fNGnUlMZc
7,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-8i7kljffBs.npy,-8i7kljffBs.npy,-8i7kljffBs,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/punk/-8i7kljffBs.mp3,-8i7kljffBs.mp3,The Birthday Party - Release The Bats [SFPS020]--8i7kljffBs.mp3,The Birthday Party - Release The Bats [SFPS020],20161129.0,178.0,5.0,0.0,5.0,,,2481,punk,3,The Birthday Party,https://www.youtube.com/watch?v=-8i7kljffBs
8,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-9JtAt2ojKE.npy,-9JtAt2ojKE.npy,-9JtAt2ojKE,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/folk/-9JtAt2ojKE.mp3,-9JtAt2ojKE.mp3,"Robert Francis ""Junebug "" acoustic version--9JtAt2ojKE.mp3","Robert Francis ""Junebug "" acoustic version",20100624.0,160811.0,733.0,6.0,4.967523575,,,18511,folk,4,Robert Francis,https://www.youtube.com/watch?v=-9JtAt2ojKE
9,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicFeatures//-9pIZh1jr-w.npy,-9pIZh1jr-w.npy,-9pIZh1jr-w,D:/PostGraduateStudy/DataScience/MusicRecommander/music/MusicDownload/country/-9pIZh1jr-w.mp3,-9pIZh1jr-w.mp3,Oak Ridge Boys -  Elvira--9pIZh1jr-w.mp3,Oak Ridge Boys -  Elvira,20091002.0,6795486.0,34797.0,1593.0,4.8248968119999995,The Oak Ridge Boys,The Oak Ridge Boys,11770,country,7,The Oak Ridge Boys,https://www.youtube.com/watch?v=-9pIZh1jr-w
