artistID,style,styleID,name,youtube_url
52,hop,5,Morcheeba,https://www.youtube.com/watch?v=VnCS25z18pI
96,pop,2,Fleetwood Mac,https://www.youtube.com/watch?v=GzY140MnItA
995,pop,2,China Crisis,https://www.youtube.com/watch?v=FQ2OK8UkBu8
9322,punk,3,Sigue Sigue Sputnik,https://www.youtube.com/watch?v=V67OOERTOEo
99,rock,0,INXS,https://www.youtube.com/watch?v=Y2Csgu8Ya2o
152,rock,0,Porcupine Tree,https://www.youtube.com/watch?v=cjNU4RuKqVE
153,pop,2,De/Vision,https://www.youtube.com/watch?v=HV7T3b_xypw
157,pop,2,Michael Jackson,https://www.youtube.com/watch?v=Pzs9fsYpsjs
162,rock,0,God Is an Astronaut,https://www.youtube.com/watch?v=ESK8hi1LyLc
163,rock,0,Pink Floyd,https://www.youtube.com/watch?v=IXdNnw99-Ic
170,rock,0,Mew,https://www.youtube.com/watch?v=gmbxEmy9xqo
171,rock,0,Stereophonics,https://www.youtube.com/watch?v=SzBJQnD7TRM
173,rock,0,Placebo,https://www.youtube.com/watch?v=OMaycNcPsHI
180,pop,2,Roxette,https://www.youtube.com/watch?v=yCC_b5WHLX0
181,metal,1,Paradise Lost,https://www.youtube.com/watch?v=F7O1z-Vw9Vc
184,pop,2,James Blunt,https://www.youtube.com/watch?v=7uT1xSp1cUM
185,rock,0,Reamonn,https://www.youtube.com/watch?v=cpF7zmFJlyc
188,metal,1,Opeth,https://www.youtube.com/watch?v=qEaf9LqIUZQ
192,pop,2,Elton John,https://www.youtube.com/watch?v=z2hu2EwCm-k
217,rock,0,Death Cab for Cutie,https://www.youtube.com/watch?v=NDHY1D0tKRA
463,pop,2,Savage Garden,https://www.youtube.com/watch?v=gE5M2PnX7NM
467,pop,2,Darren Hayes,https://www.youtube.com/watch?v=4E8PAEiDIfk
632,rock,0,Explosions in the Sky,https://www.youtube.com/watch?v=cdiY6kijYHE
706,rock,0,AC/DC,https://www.youtube.com/watch?v=MOTMw0o1ELM
726,metal,1,Apocalyptica,https://www.youtube.com/watch?v=qxDcWvZCSRg
918,metal,1,Megadeth,https://www.youtube.com/watch?v=crdYsPVBK6M
920,metal,1,Dream Theater,https://www.youtube.com/watch?v=5ozBCgXFJQM
1248,rock,0,The Darkness,https://www.youtube.com/watch?v=tKjZuykKY1I
1385,rock,0,Thirteen Senses,https://www.youtube.com/watch?v=VFroDCsVCeY
1873,rock,0,Audioslave,https://www.youtube.com/watch?v=DxQ945HGLtI
1917,metal,1,Charon,https://www.youtube.com/watch?v=-t3mMi__ruY
2370,metal,1,Amorphis,https://www.youtube.com/watch?v=xf_4uvymwRw
2961,metal,1,Pain,https://www.youtube.com/watch?v=067YF8KHdTM
3416,metal,1,Sentenced,https://www.youtube.com/watch?v=wkLhAxbUecw
8512,rock,0,Aeon Spoke,https://www.youtube.com/watch?v=ab1DIfDc2Jw
2911,hop,5,EPMD,https://www.youtube.com/watch?v=4sB7SDjMs4Y
291,pop,2,Kelly Clarkson,https://www.youtube.com/watch?v=QUK8gQ2aGxY
334,pop,2,No Angels,https://www.youtube.com/watch?v=m1c7cqmjq0w
335,pop,2,Sandy,https://www.youtube.com/watch?v=7eu_EMEJEaM
348,rock,0,Wir sind Helden,https://www.youtube.com/watch?v=X5kmM98iklo
8,rock,0,DIR EN GREY,https://www.youtube.com/watch?v=2X38H6Zvyr4
209,rock,0,My Chemical Romance,https://www.youtube.com/watch?v=RRKJiM9Njr8
229,rock,0,The Killers,https://www.youtube.com/watch?v=gGdGFtwCNBE
370,metal,1,Katatonia,https://www.youtube.com/watch?v=OFjWd5unk6Q
372,rock,0,モンゴル800,https://www.youtube.com/watch?v=0Com7F2TvpU
375,pop,2,浜崎あゆみ,https://www.youtube.com/watch?v=4EPsrl1UIn0
377,rock,0,Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4
379,pop,2,中島美嘉,https://www.youtube.com/watch?v=PEoy9fnmL-I
396,rock,0,L'Arc~en~Ciel,https://www.youtube.com/watch?v=DeUM9FNs1w4
403,rock,0,The All-American Rejects,https://www.youtube.com/watch?v=1UWgRwVRbxc
406,rock,0,HYDE,https://www.youtube.com/watch?v=usH46Bo-0pE
410,hop,5,GD&TOP,https://www.youtube.com/watch?v=X5XVbVnPis4
490,metal,1,Seether,https://www.youtube.com/watch?v=Pj5z50FukdQ
493,rock,0,Lostprophets,https://www.youtube.com/watch?v=NjKmCxyKmas
504,metal,1,HIM,https://www.youtube.com/watch?v=wjGK-LRqAqI
517,metal,1,Korn,https://www.youtube.com/watch?v=jRGrNDV2mKc
955,metal,1,Epica,https://www.youtube.com/watch?v=ZN3ZK1RZsFY
1131,metal,1,Tool,https://www.youtube.com/watch?v=ATsrCNJhic4
1194,rock,0,Hawthorne Heights,https://www.youtube.com/watch?v=J5-Ptk1JUf4
1475,pop,2,Ricky Martin,https://www.youtube.com/watch?v=ltRgb4SJ1uk
1519,rock,0,Ryan Adams,https://www.youtube.com/watch?v=0gVxRvNfFLg
1874,rock,0,Hoobastank,https://www.youtube.com/watch?v=fV4DiAyExN0
1922,pop,2,Rie fu,https://www.youtube.com/watch?v=aHaPsACP70U
2102,pop,2,倖田來未,https://www.youtube.com/watch?v=SyX94qRE7bU
2369,metal,1,Type O Negative,https://www.youtube.com/watch?v=8S8Iz0mGs_U
2544,pop,2,KT Tunstall,https://www.youtube.com/watch?v=6or36evZ21A
2941,rock,0,Hinder,https://www.youtube.com/watch?v=RiSfTyrvJlg
3351,rock,0,Melt-Banana,https://www.youtube.com/watch?v=NZSL21lcoH4
3429,metal,1,Krypteria,https://www.youtube.com/watch?v=4uaacmfSOxY
3563,metal,1,Saliva,https://www.youtube.com/watch?v=kvh_HJj6y3s
4321,metal,1,Galneryus,https://www.youtube.com/watch?v=6FhmyWT-_0U
4332,metal,1,Royal Hunt,https://www.youtube.com/watch?v=ic3vvmOp9U4
4342,metal,1,Dream Evil,https://www.youtube.com/watch?v=nN5yrRRs2EY
5080,pop,2,KAT-TUN,https://www.youtube.com/watch?v=YPbJLk6fgMQ
11049,rock,0,Saybia,https://www.youtube.com/watch?v=3k-3UVNLSIM
16163,rock,0,Mr.Children,https://www.youtube.com/watch?v=1ApBqZFwgf4
89,pop,2,Lady Gaga,https://www.youtube.com/watch?v=qrO4YZeyl0I
230,punk,3,Green Day,https://www.youtube.com/watch?v=NUTGr5t3MoY
456,pop,2,Jesse McCartney,https://www.youtube.com/watch?v=ek2PDE1cAyY
469,pop,2,Nick Carter,https://www.youtube.com/watch?v=VzjXHp-CXaI
471,rock,0,Metro Station,https://www.youtube.com/watch?v=IpzIJEIljQA
540,rock,0,Fall Out Boy,https://www.youtube.com/watch?v=uhG-vLZrb-g
1580,pop,2,Paris Hilton,https://www.youtube.com/watch?v=icpqB22c4G8
2179,hop,5,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss
3576,pop,2,New Kids on the Block,https://www.youtube.com/watch?v=7wJMH-RgnbA
10074,pop,2,Дима Билан,https://www.youtube.com/watch?v=0uvIc4u475s
15941,pop,2,БиС,https://www.youtube.com/watch?v=9z-ZKPkhnSw
16,rock,0,London After Midnight,https://www.youtube.com/watch?v=gD2JUFkT5RI
36,metal,1,KMFDM,https://www.youtube.com/watch?v=xwhOTNQcQq4
67,pop,2,Madonna,https://www.youtube.com/watch?v=EDwb9jOVRtU
71,pop,2,Dido,https://www.youtube.com/watch?v=1TO48Cnl66w
88,rock,0,Gorillaz,https://www.youtube.com/watch?v=HyHNuVaZJ-k
154,rock,0,Radiohead,https://www.youtube.com/watch?v=XFkzRNyygfk
159,rock,0,The Cure,https://www.youtube.com/watch?v=mGgMZpGYiy8
189,rock,0,Poets of the Fall,https://www.youtube.com/watch?v=MKk1u5RMTn4
190,rock,0,Muse,https://www.youtube.com/watch?v=e0UWT0dFSQE
191,rock,0,OneRepublic,https://www.youtube.com/watch?v=hT_nvWreIhg
198,metal,1,System of a Down,https://www.youtube.com/watch?v=CSvFpBOe8eY
227,pop,2,The Beatles,https://www.youtube.com/watch?v=U_O1QKQCsGs
233,rock,0,Nine Inch Nails,https://www.youtube.com/watch?v=PTFwQP86BRs
234,rock,0,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg
278,hop,5,2Pac,https://www.youtube.com/watch?v=cQZqPi1aHNo
288,pop,2,Rihanna,https://www.youtube.com/watch?v=yXvyJDqqQec
289,pop,2,Britney Spears,https://www.youtube.com/watch?v=LOZuxwVk7TU
299,pop,2,Jennifer Lopez,https://www.youtube.com/watch?v=aEM2kOrrNJI
300,pop,2,Katy Perry,https://www.youtube.com/watch?v=tAp9BKosZXs
302,pop,2,P!nk,https://www.youtube.com/watch?v=987xHnVfRI4
306,pop,2,Black Eyed Peas,https://www.youtube.com/watch?v=WpYeekQkAdc
318,pop,2,Hilary Duff,https://www.youtube.com/watch?v=4BCMhuG7pUk
320,pop,2,Fergie,https://www.youtube.com/watch?v=5T0utQ-XWGY
325,pop,2,Ashley Tisdale,https://www.youtube.com/watch?v=4sTHw7HEfHo
327,hop,5,Chris Brown,https://www.youtube.com/watch?v=_p9I5ipJFs0
331,hop,5,Kanye West,https://www.youtube.com/watch?v=cwQgjq0mCdE
333,pop,2,Avril Lavigne,https://www.youtube.com/watch?v=v686vG5PSac
344,pop,2,Taylor Swift,https://www.youtube.com/watch?v=tCXGJQYZ9JA
349,pop,2,The Pussycat Dolls,https://www.youtube.com/watch?v=YNSxNsr4wmA
371,rock,0,Skillet,https://www.youtube.com/watch?v=1mjlM_RnsVE
378,rock,0,Evanescence,https://www.youtube.com/watch?v=3YxaaGgTQYM
405,rock,0,The Rasmus,https://www.youtube.com/watch?v=7gwO8-oqwFw
412,punk,3,blink-182,https://www.youtube.com/watch?v=9Ht5RZpzPqw
436,rock,0,The Smashing Pumpkins,https://www.youtube.com/watch?v=7LXO_I-uIis
458,pop,2,Justin Bieber,https://www.youtube.com/watch?v=fRh_vgS2dFE
464,hop,5,3OH!3,https://www.youtube.com/watch?v=mdB3Oyd5HtU
468,pop,2,Usher,https://www.youtube.com/watch?v=DpXWtMpjdg8
474,pop,2,Craig David,https://www.youtube.com/watch?v=Mpeohn2EdVc
475,hop,5,Eminem,https://www.youtube.com/watch?v=1arz9Q9qBas
484,hop,5,Ne-Yo,https://www.youtube.com/watch?v=mqvvaOQWsBM
486,rock,0,30 Seconds to Mars,https://www.youtube.com/watch?v=8yvGCAvOAfM
488,rock,0,Three Days Grace,https://www.youtube.com/watch?v=d8ekz_CSBVg
489,metal,1,Limp Bizkit,https://www.youtube.com/watch?v=ZpUYjpKg9KY
491,hop,5,Fort Minor,https://www.youtube.com/watch?v=VDvr08sCPOc
495,rock,0,This Beautiful Republic,https://www.youtube.com/watch?v=30LczFt8vgY
496,rock,0,Cold,https://www.youtube.com/watch?v=ffePfl-Ew_c
497,rock,0,Papa Roach,https://www.youtube.com/watch?v=JkEXUFlh_EA
498,punk,3,Paramore,https://www.youtube.com/watch?v=AEB6ibtdPZc
499,rock,0,Flyleaf,https://www.youtube.com/watch?v=COqhFdHsi6M
500,metal,1,Bullet for My Valentine,https://www.youtube.com/watch?v=9sTQ0QdkN3Q
501,rock,0,Angels & Airwaves,https://www.youtube.com/watch?v=JMl8cQjBfqk
502,pop,2,LaFee,https://www.youtube.com/watch?v=W3umtMqiaEQ
503,metal,1,In Flames,https://www.youtube.com/watch?v=FwsrCSe50rA
505,metal,1,Digital Summer,https://www.youtube.com/watch?v=5W1MzQ2e8rs
506,metal,1,Anathema,https://www.youtube.com/watch?v=8y1ROzCUpbU
508,rock,0,Tracktor Bowling,https://www.youtube.com/watch?v=rlmPrAFphxY
509,metal,1,Pitchshifter,https://www.youtube.com/watch?v=sGcdcVblZ-8
510,rock,0,P.O.D.,https://www.youtube.com/watch?v=EDKwCvD56kw
511,pop,2,U2,https://www.youtube.com/watch?v=StzzGkdJkyI
512,metal,1,Deftones,https://www.youtube.com/watch?v=XOzs1FehYOA
514,metal,1,Ill Niño,https://www.youtube.com/watch?v=rNH4IdCJZf8
515,rock,0,Clan of Xymox,https://www.youtube.com/watch?v=OiJ3KU0bme0
516,rock,0,Celldweller,https://www.youtube.com/watch?v=4o3cYMXgaP0
518,metal,1,Within Temptation,https://www.youtube.com/watch?v=S7sOZ_TFUXg
519,metal,1,Static-X,https://www.youtube.com/watch?v=vMCbJB4yNXo
521,rock,0,happysad,https://www.youtube.com/watch?v=W1jIuwYGIrU
522,metal,1,Lacrimosa,https://www.youtube.com/watch?v=DUWL9M8mcoE
523,pop,2,Lindsay Lohan,https://www.youtube.com/watch?v=5lTMVCk1MGo
536,rock,0,Good Charlotte,https://www.youtube.com/watch?v=desJKYvdq9A
537,rock,0,The Used,https://www.youtube.com/watch?v=AZka3E37k6w
